август август августа
авторство авторства
апрель апреля
архивировать архивировано
бермудес бермудес
бласа блас
вентур вентура
версия версия
виво виво
викидать викиданных
викимедиа викимедиа
википедия википедии википедия
вилабоа вилабоа
вклад вклад
войти войти
вступить вступил
второй второй
гавана гавана
генеральный генеральный
год года годы лет
государственный государственное
дата дата
действовать действовать
декабрь декабрь декабря
диас диас
должность должности должность
дополнительный дополнительные
доступный доступен
другой других
единый единой
ещё ещё
жизнь жизни
заглавный заглавная
занимать занимает
запись запись
зарегистрировать зарегистрированный
заявление заявление
знак знак
избранный избранные
имя имя
инструмент инструменты
исп исп
использование использования
история история
источник источник
июнь июня
канель канель
кастро кастро
категория категории
код код
кодекс кодекс
комитет комитета
комитя комите
коммунистить коммунисти
коммунистический коммунистического коммунистической
конфиденциальность конфиденциальности
короткий короткий
кпк кпк
ку ку
куба кубы
кук куки
лицензия лицензии
льный льного
март марта
материал материал
мачадо мачадо
мигель мигель
мобильный мобильная
мочь могут
мы нами
н н
навигация навигации навигация
назначаться назначается
народный народно
некоммерческий некоммерческой
новый новые
ныне ныне
нынешний нынешним
обращение обращения
обсуждение обсуждение
объединить объединённых
октябрь октября
описание описание
организация организации организаций
оставить оставил
ответственность ответственности
отдельный отдельных
отказ отказ
отредактировать отредактирована
ошибка ошибке
па па
партия партии
пе пе
пение пенья
первый первые первый первым первых
перейти перейти
перес перес
персональный персональные
печать печати печать
поведение поведения
подробный подробнее
пожертвовать пожертвовать
поиск поиск поиску
политика политика
полномочие полномочий
получить получить
портрет портрет
последний последний
постоянный постоянная
появиться появилась
править править
правка правки
представиться представились
примечание примечания
проект проектах
просмотр просмотры
разработчик разработчики
рамон рамон
рауль рауль
рвыя рвый
революционно революционно
революционный революционных
революция революции
резиденция резиденция
родиться род
рок рока
ртия ртии
руководитель руководитель
русский русский
рь рь
сведение сведения
свежий свежие
свободный свободной
связанный связанные
связаться свяжитесь
секрет секрета
секретарь секретарей секретари секретарь секретарём
система системе
скачать скачать
служебный служебные
случай случаях
случайный случайная
смотреть см
событие события
содержание содержание
создать создать
сокращённо сокращённо
сообщество сообщество
сообщить сообщить
сохранение сохранением
социалистический социалистической
союз союза
список список
справка справка
срок срок сроков
српски српски
ссылка ссылка ссылки
статистика статистика
статья статьи статья
страница страница странице страницу страницы
съезд съездом
сюда сюда
текст текст
текущий текущие
товарный товарный
тот та
указание указанием
упразднить упразднена
условие условий условия
устройство устройство
участие участие
учётный учётную
фидель фидель
фонд фонд
форум форум
хорх хорхе
хосе хосе
центр центра
центральный центрального
цитировать цитировать
цк цк
читать читать
чёска ческой
экспорт экспорт
элемент элемент
энциклопедия энциклопедии
этот эта
являться является
язык языках
январь января
