аверар аверара
автомобильный автомобильный
авторство авторства
авьятико авьятико
адда адда
административно административно
административный административному административные административных
адрар адрара
аз аза
алессандро алессандро
алфавит алфавиту
аль аль
альбано альбано
альбино альбино
альгуа альгуа
альме альме
альменный альменно
альт альта
альцано альцано
амбивер амбивере
анджель анджели
андреа андреа
антеньят антеньяте
аргон аргон
ардезьо ардезьо
арцаго арцаго
арчен арчене
атд атд
аццано аццано
аццона аццоне
бальнеарио бальнеарио
баньятик баньятика
барбат барбата
бариано бариано
бартоломео бартоломео
барцана барцана
бедулита бедулита
бербенно бербенно
бергамаска бергамаска
бергамаско бергамаско
бергамо бергамо
берцо берцо
блелло блелло
богородица богородица
больгаре больгаре
больдон больдоне
больтьер больтьере
боната бонате
борго борго
боссико боссико
боттанукий боттануко
бракка бракка
бранци бранци
брембан брембана
брембат брембате
брембилл брембилла
брембо брембо
бриджида бриджида
бриньяно бриньяно
брузапорто брузапорто
брумано брумано
български български
бьянко бьянко
бьянцано бьянцано
валле валле
валлев валлеве
вальбондион вальбондионе
вальбрембо вальбрембо
вальгольо вальгольо
вальнегр вальнегра
вальсекка вальсекка
вальторт вальторта
ведезет ведезета
верделлиный верделлино
верделло верделло
версия версия
вертов вертова
вигано вигано
виголо виголо
викидать викиданных
викимедиа викимедиа
википедия википедии википедия
викисклад викисклад викискладе
вилла вилла
виллонго виллонго
вильминор вильминоре
вклад вклад
войти войти
вольпино вольпино
высота высота
вьяданика вьяданика
гаверин гаверина
гадзанига гадзанига
ганделлиный ганделлино
гандино гандино
гандоссо гандоссо
гаять гаяно
география география
гизальба гизальба
год года году
горлаго горлаго
горло горле
горный горно
город города
грассоббьо грассоббьо
громый громо
грон гроне
грумелло грумелло
далее д
дальмина дальмине
де де
действовать действовать
декабрь декабря
деление деления
делла делла
дель дель
дельи дельи
джер джера
джервазио джервазио
джероза джероза
джованни джованни
дзандоббьо дзандоббьо
дзаник дзаника
дзоньо дзоньо
ди ди
дополнительный дополнительные
дополнить дополнив
доссена доссена
доступный доступен
другой других
единица единицах единице единицы
ещё ещё
её её
заглавный заглавная
заготовка заготовка
занимать занимает
запись запись
зарегистрировать зарегистрированный
заявление заявление
збекча збекча
знак знак
идентификатор идентификаторы
избранный избранные
изола изола
иль иль
имание иманья
индекс индекс
инструмент инструменты
использование использования
иссо иссо
история история
источник источник
итал итал
италия италии италия
июль июля
кавернагой кавернаго
казацца казацца
казират казирате
казниго казниго
калепьо калепьо
калуско калуско
кальвенцано кальвенцано
кальви кальви
кальчинат кальчинате
кальчо кальчо
камерата камерата
каноник каноника
капиццона капиццоне
каприата каприате
каприно каприно
караваджо караваджо
карвико карвико
кароббьо кароббьо
карон карона
карта картами карты
кассильо кассильо
кастелли кастелли
кастелло кастелло
кастель кастель
кастро кастро
кастьон кастьоне
категория категории
каццано каццано
киньоть киньоло
кланеццо кланеццо
клузона клузоне
км км
ковый ково
код код
кодекс кодекс
колер колере
колл колле
коллина коллина
колоньо колоньо
кольцата кольцате
коммуна коммуна коммуны
комун комун
кон кон
конфиденциальность конфиденциальности
корн корна
корнальба корнальба
корнелло корнелло
короткий короткий
кортенуов кортенуова
коста коста
кредарый кредаро
кузио кузио
кук куки
курно курно
кьюдуно кьюдуно
лаго лаго
лаллио лаллио
левата левате
ленный ленна
лето летом
лефф леффе
лицензия лицензии
ловера ловере
локателло локателло
ломбардия ломбардия
ломбардо ломбардо
лурано лурано
луццана луццана
м м
мадона мадоне
мапелло мапелло
мартиненго мартиненго
мартино мартино
материал материал
медзата медзате
медиафайл медиафайлы
медолаго медолаго
меццольдо меццольдо
мизано мизано
мобильный мобильная
мойо мойо
монастероть монастероло
монт монте
монтелло монтелло
моренго моренго
морнико морнико
моццаник моццаника
моццо моццо
мочь могут
мы нами
навигация навигации навигация
население население населения
населённый населённые
находиться находится
незавершённый незавершённые
некоммерческий некоммерческой
нембро нембро
новый новые
носса носса
нохчийна нохчийн
нп нп
нська нська
нуовый нуово
обсуждение обсуждение
озио озио
оливана оливана
ольмо ольмо
ольтр ольтре
ольтрессенд ольтрессенда
омобоно омобоно
онет онета
оние онья
оноре оноре
описание описание
организация организации
орио орио
орник орника
ответственность ответственности
отдельный отдельных
отказ отказ
отредактировать отредактирована
ошибка ошибке
пагаццано пагаццано
паладин паладина
палаццаго палаццаго
паллавичина паллавичина
палоско палоско
паоло паоло
парра парре
парцаник парцаника
педренго педренго
пеллегрино пеллегрино
перейти перейти
персональный персональные
печать печати печать
пея пея
плотность плотность
площадь площадь
поведение поведения
подробный подробнее
подчиняться подчиняется
пожертвовать пожертвовать
позапозапрошлый позапозапрошлом
поиск поиск поиску
показать показать
покровительница покровительницей
политика политика
получить получить
помочь помогите
понт понте
понтераник понтераника
понтида понтида
понтироть понтироло
поньяно поньяно
последний последний последняя
постоянный постоянная
почитаться почитается
почтовый почтовый
пояс пояс
править править
правка правка правки
прадалунг прадалунга
празднование празднование
предор предоре
представиться представились
презеццо презеццо
презолан презолана
премоло премоло
пресвятой пресвятая
провинция провинции провинция
проект проектах
просмотр просмотры
пумененго пумененго
пункт пункты
пьетро пьетро
пьянико пьянико
пьяно пьяно
пьярио пьярио
пьяцца пьяцца
пьяццаторра пьяццаторре
пьяццоть пьяццоло
разработчик разработчики
раник раника
ранцанико ранцанико
регион регионе
рива рива
роверь ровери
роветта роветта
рокко рокко
романо романо
ронкобелло ронкобелло
ронкола ронкола
роньо роньо
рота рота
роццона роццоне
русский русский
сальватор сальваторе
сан сан
сант сант санта
сарнико сарнико
сведение сведения
свежий свежие
свободный свободной
связанный связанные
связаться свяжитесь
седрина седрина
сельвиный сельвино
сериата сериате
серин серина
серио серио
система системе
скальва скальве
сканцорошат сканцорошате
скачать скачать
скильпарио скильпарио
скрытый скрытые
скрыть скрыть
служебный служебные
случай случаях
случайный случайная
смотреть см
событие события
совера совере
содержание содержание
создать создать
сол сола
сольто сольто
сольца сольца
сонгаваццо сонгаваццо
сообщество сообщество
сообщить сообщить
сопра сопра
соризола соризоле
составлять составляет
сотто сотто
сохранение сохранением
спарсо спарсо
спиноне спиноне
спирано спирано
справка справка
српски српски
српскохрватски српскохрватски
ссылка ссылка ссылки
статистика статистика
статус статус
статья статьи статья
стеццано стеццано
страна страна
страница страница странице страницу страницы
строцца строцца
суизьо суизьо
сюда сюда
тавернола тавернола
таледжо таледжо
татарча татарча
текст текст
текущий текущие
телефонный телефонный
тельгата тельгате
терма терме
терно терно
территориальный территориального
терцо терцо
товарный товарный
торра торре
тревильо тревильо
тревиоть тревиоло
трескора трескоре
убьял убьяле
указание указанием
укра укра
урньяно урньяно
условие условий условия
участие участие
учётный учётную
фара фара
фермо фермо
филаго филаго
фино фино
фонд фонд
фондра фондра
фонесть фонтено
фонтанелла фонтанелла
фопполый фопполо
форесто форесто
форново форново
форум форум
фуипьяно фуипьяно
фьорать фьорано
центр центра центру
цитировать цитировать
цифровой цифровые
часовой часовой
чел чел
человек человека
чен чене
ченато ченато
чивидата чивидате
чизано чизано
чизерано чизерано
читать читать
чрать черете
ша ша
широта ш
экспорт экспорт
элемент элемент
эндин эндине
энтратико энтратико
энциклопедия энциклопедии
это это
этот эта
язык языках
