авторство авторства
алфавит алфавиту
апрель апреля
вельмо вельмо
вернуться вернитесь
версия версия
верхний верхняя
викидать викиданных
викимедиа викимедиа
википедия википедии википедия
вклад вклад
войти войти
год года
действовать действовать
департамент департамент
добавить добавить
дополнительный дополнительные
доступный доступен
другой других
ещё ещё
заглавный заглавная
запись запись
зарегистрировать зарегистрированный
заявление заявление
знак знак
значение значений
избранный избранные
инструмент инструменты
использование использования
история история
источник источник
категория категория
код код
кодекс кодекс
коммуна коммуна
конфиденциальность конфиденциальности
короткий короткий
край крае
красноярский красноярском
кук куки
лицензия лицензии
материал материал
мобильный мобильная
мочь могут
мы нами
навигация навигации навигация
название названия названиям
начало начале
некоммерческий некоммерческой
новый новые
нужный нужную
обсуждение обсуждение
описание описание
организация организации
ответственность ответственности
отдельный отдельных
отказ отказ
отредактировать отредактирована
ошибка ошибке
перейти перейти
персональный персональные
печать печати печать
поведение поведения
подробный подробнее
пожалуйста пожалуйста
пожертвовать пожертвовать
поиск поиск поиску
политика политика
получить получить
попасть попали
последний последний
постоянный постоянная
посёлок посёлок
править править
правка правки
представиться представились
примечание примечания
проект проект проектах
просмотр просмотры
разработчик разработчики
река река
россия россии
русский русский
сведение сведения
свежий свежие
свободный свободной
связанный связанные
связаться свяжитесь
система системе
скачать скачать
слово слова
словосочетание словосочетания
служебный служебные
случай случаях
случайный случайная
смотреть см
событие события
содержание содержание
создать создать
сон сона
сообщество сообщество
сообщить сообщить
соответствующий соответствующие
сохранение сохранением
список список
справка справка
ссылка ссылка ссылками ссылки ссылку
статистика статистика
статья статьи статью статья
страница страница странице страницу страницы
сюда сюда
также также
текст текст
текущий текущие
товарный товарный
указание указанием
указывать указывала
условие условий условия
уточнить уточните
участие участие
учётный учётную
фонд фонд
форум форум
франция франции
цитировать цитировать
читать читать
экспорт экспорт
элемент элемент
энциклопедия энциклопедии
этот эта
язык языках
